Date,Day,DTE,EntryTime,Future,CE.Strike,CE.Open,CE.High,CE.Low,CE.Close,CE.SL.Flag,CE.SL.Time,CE.PNL,PE.Strike,PE.Open,PE.High,PE.Low,PE.Close,PE.SL.Flag,PE.SL.Time,PE.PNL
2024-04-23,Tuesday,4,09:20:00,73967.37,73900CE,391.7,400.0,302.05,317.6,False,,69.2,73900PE,407.6,488.65,375.0,460.65,False,,-58.14
2024-04-24,Wednesday,3,09:20:00,73912.2,73900CE,337.6,438.2,265.45,335.4,True,2024-04-24 10:26:00,-71.74,73900PE,344.25,352.05,236.9,290.1,False,,49.85
2024-04-25,Thursday,2,09:20:00,73618.43,73700CE,264.65,878.85,255.4,711.2,True,2024-04-25 09:34:00,-56.24,73700PE,273.35,290.0,60.25,75.65,False,,194.28
2024-04-26,Friday,1,09:20:00,74413.36,74400CE,170.3,203.85,0.05,0.05,False,,168.12,74400PE,196.0,712.7,174.9,670.9,True,2024-04-26 09:20:00,-41.65
2024-04-29,Monday,4,09:20:00,74054.6,74200CE,468.5,804.0,447.35,715.9,True,2024-04-29 10:19:00,-99.56,74200PE,443.85,466.05,232.95,253.3,False,,185.0
2024-04-30,Tuesday,3,09:20:00,74745.99,74800CE,359.25,535.0,223.15,244.8,True,2024-04-30 09:39:00,-76.34,74800PE,405.3,502.65,264.7,454.0,True,2024-04-30 15:04:00,-86.13
2024-05-02,Thursday,2,09:20:00,74620.89,74600CE,339.9,448.0,250.25,281.6,True,2024-05-02 09:46:00,-72.23,74600PE,295.7,336.65,155.85,190.0,False,,102.0
2024-05-03,Friday,1,09:20:00,75010.29,75000CE,184.85,249.5,0.1,0.15,True,2024-05-03 09:22:00,-39.28,75000PE,213.7,1600.0,183.0,1123.2,True,2024-05-03 09:36:00,-45.41
2024-05-06,Monday,5,09:20:00,74026.49,74100CE,540.0,663.15,407.5,448.05,True,2024-05-06 09:30:00,-114.75,74100PE,499.65,623.8,382.3,534.5,True,2024-05-06 13:30:00,-106.18
2024-05-07,Tuesday,4,09:20:00,73895.9,73900CE,485.75,548.85,237.5,314.75,False,,164.93,73900PE,443.6,806.7,371.25,632.25,True,2024-05-07 10:00:00,-94.27
